sample_id,total_reads,pass_qc,reads_mapped,reference,percent_reference_coverage,median_coverage,count_minor_snv_at_or_over_5_pct,pass_fail_reason,subtype,mira_module,runid,instrument,clade,short_clade,subclade
3101678987_N90NX5IO_v1,961274,954035,93473,A_NP,100.0,5088,0,Pass,H3N2,MIRA-NF-v2.0.0 illumina-flu default-config,example_mira_output_2,illumina,,,
3101678987_N90NX5IO_v1,961274,954035,63386,A_NS,97.1,5974,0,Pass,H3N2,MIRA-NF-v2.0.0 illumina-flu default-config,example_mira_output_2,illumina,,,
3101678987_N90NX5IO_v1,961274,954035,127276,A_PA,100.0,4740,0,Pass,H3N2,MIRA-NF-v2.0.0 illumina-flu default-config,example_mira_output_2,illumina,,,
3101678987_N90NX5IO_v1,961274,954035,105100,A_PB1,100.0,3924,0,Pass,H3N2,MIRA-NF-v2.0.0 illumina-flu default-config,example_mira_output_2,illumina,,,
3101678987_N90NX5IO_v1,961274,954035,141429,A_PB2,100.0,5247,0,Pass,H3N2,MIRA-NF-v2.0.0 illumina-flu default-config,example_mira_output_2,illumina,,,
3101678989_N90NX5J8_v1,338962,333103,19037,A_HA_H3,99.82,921,0,Pass,H3N2,MIRA-NF-v2.0.0 illumina-flu default-config,example_mira_output_2,illumina,3C.2a1b.2a.2a.3a.1,2a.3a.1,J.2
3101678989_N90NX5J8_v1,338962,333103,24710,A_MP,100.0,2218,1,Pass,H3N2,MIRA-NF-v2.0.0 illumina-flu default-config,example_mira_output_2,illumina,,,
3101678989_N90NX5J8_v1,338962,333103,4917,A_NA_N2,100.0,326,1,Pass,H3N2,MIRA-NF-v2.0.0 illumina-flu default-config,example_mira_output_2,illumina,,,
3101678989_N90NX5J8_v1,338962,333103,9714,A_NP,100.0,580,0,Pass,H3N2,MIRA-NF-v2.0.0 illumina-flu default-config,example_mira_output_2,illumina,,,
3101678989_N90NX5J8_v1,338962,333103,6887,A_NS,97.1,761,2,Pass,H3N2,MIRA-NF-v2.0.0 illumina-flu default-config,example_mira_output_2,illumina,,,
3101678989_N90NX5J8_v1,338962,333103,3542,A_PA,100.0,149,1,Pass,H3N2,MIRA-NF-v2.0.0 illumina-flu default-config,example_mira_output_2,illumina,,,
3101678989_N90NX5J8_v1,338962,333103,4013,A_PB1,100.0,120,0,Pass,H3N2,MIRA-NF-v2.0.0 illumina-flu default-config,example_mira_output_2,illumina,,,
